x	u0	u1
          -3.0078125	(0.050683713609419305+0.19034634988134463j)	(0.05006074958859383+0.1904306378648434j)
         -2.98828125	(0.05183935297411989+0.19356729779545534j)	(0.05131128615748738+0.19372301576718737j)
            -2.96875	(0.05302536356844667+0.19689223788069865j)	(0.05254023541770734+0.19707531818104018j)
         -2.94921875	(0.054242021144312494+0.20028621302464206j)	(0.05376028559351537+0.20048262789663635j)
          -2.9296875	(0.055494042034325175+0.20372581851576962j)	(0.05503413257919716+0.2039719691245662j)
         -2.91015625	(0.05677701699154755+0.20724022883286522j)	(0.05630450292322418+0.20749063260492012j)
           -2.890625	(0.05808076382814335+0.2108556864676962j)	(0.05759043777143783+0.2110067514060643j)
         -2.87109375	(0.05936384875112455+0.2145020589354357j)	(0.058904409260877186+0.21462293488931525j)
          -2.8515625	(0.06068883880035474+0.21816859108045086j)	(0.06024432697417622+0.21827948114430204j)
         -2.83203125	(0.06205276994567274+0.22186296085349197j)	(0.06155636555701939+0.22195366497123714j)
             -2.8125	(0.06343428268391173+0.22556748018836956j)	(0.06289859209800208+0.22568371263802733j)
         -2.79296875	(0.06479801115693033+0.22933821754330072j)	(0.06427215173082029+0.2294758657971808j)
          -2.7734375	(0.06620397571396114+0.23320036821897014j)	(0.06563556922796933+0.23337985057410107j)
         -2.75390625	(0.06765274634120177+0.23711709033542278j)	(0.06699832286190087+0.23737187224577652j)
           -2.734375	(0.06910690919479535+0.2410967373199525j)	(0.06838434835698384+0.24144426248126663j)
         -2.71484375	(0.07062530605225023+0.2451152634579597j)	(0.0698242530152747+0.2455581631804725j)
          -2.6953125	(0.07220613404042708+0.24924088048074544j)	(0.07134361916809197+0.249718655953344j)
         -2.67578125	(0.07379271446147298+0.2534834410179523j)	(0.07290990383419535+0.253925113815193j)
            -2.65625	(0.07539029030207514+0.25781103995534416j)	(0.07450087141032871+0.25821283596901046j)
         -2.63671875	(0.07699976117338511+0.2622772052134269j)	(0.07614618885558419+0.26261665288131153j)
          -2.6171875	(0.07868781301322095+0.26683395283205547j)	(0.07783291936468856+0.2671451073917296j)
         -2.59765625	(0.08042478377245205+0.2714485935715774j)	(0.07956388871723397+0.271718149035687j)
           -2.578125	(0.08219497100391426+0.2761403800829999j)	(0.08132942453905512+0.2764006868538297j)
         -2.55859375	(0.08398625607121787+0.28091785608840847j)	(0.08308311512850453+0.2812229148535543j)
          -2.5390625	(0.08585414275020939+0.2857408218269202j)	(0.08490087063788343+0.2861120507970962j)
         -2.51953125	(0.08778271093149273+0.2906864841612251j)	(0.08674571013591276+0.2910880615503147j)
                -2.5	(0.08973643085098915+0.29575475369937954j)	(0.08864730663077902+0.2962203063200153j)
         -2.48046875	(0.09169070803945367+0.3009293933240036j)	(0.09058571785720704+0.3014585471037982j)
          -2.4609375	(0.09366784950578744+0.3062273963342071j)	(0.09256376560887203+0.30678444087288514j)
         -2.44140625	(0.09570003797048976+0.3116665209658464j)	(0.09463152284710985+0.3121789969467548j)
           -2.421875	(0.09782106785229217+0.3171644860964499j)	(0.09679397641908905+0.31765155177549664j)
         -2.40234375	(0.09994696733948916+0.3227575640345711j)	(0.09901996554355097+0.32320069967071763j)
          -2.3828125	(0.10215778603757497+0.32843199472290574j)	(0.10127576903830127+0.3288551828070174j)
         -2.36328125	(0.10439037500412218+0.33423789939936777j)	(0.10353532110675084+0.3346130917468377j)
            -2.34375	(0.10664433085796976+0.34010073773415694j)	(0.10581526669939673+0.340482894216589j)
         -2.32421875	(0.1089512362334576+0.34600924155814705j)	(0.10816740115493512+0.3464352858520575j)
          -2.3046875	(0.11134857300628354+0.35197278035839347j)	(0.11054518648672113+0.35244291953166107j)
         -2.28515625	(0.11381558359045585+0.3579837009862714j)	(0.11297210128837964+0.35846891993278984j)
           -2.265625	(0.11632067025340043+0.36401855837035507j)	(0.11544335172128545+0.3646071767415098j)
         -2.24609375	(0.11884359847538861+0.37016543701640015j)	(0.11796835879158385+0.37080625421018487j)
          -2.2265625	(0.12143411154765443+0.37638561785958663j)	(0.12057026853192043+0.37700504938773555j)
         -2.20703125	(0.12408385570228048+0.3826735071561641j)	(0.12321992433657125+0.38328292421225574j)
             -2.1875	(0.12679827136570582+0.38904903852540595j)	(0.12593264470261728+0.38963601243678175j)
         -2.16796875	(0.12952462873902176+0.3955205494061972j)	(0.1286604925159395+0.39600412612866775j)
          -2.1484375	(0.13228967246049447+0.40199569269256663j)	(0.13142521602650425+0.4024086833403887j)
         -2.12890625	(0.13511891588042746+0.40850486622233595j)	(0.1342525059293017+0.40886641490220743j)
           -2.109375	(0.1380165115490679+0.4150213398869422j)	(0.1371228564770965+0.4154182648425523j)
         -2.08984375	(0.14092776033659776+0.421547799035052j)	(0.14002448593173067+0.42207194088151806j)
          -2.0703125	(0.14387219940399282+0.42816105356106937j)	(0.14298031105826592+0.4288038205723867j)
